PersonID,Name,Gender,Age,Religion,Occupation,Education,MaritalStatus,Phone,Address,District
500001,Aadi Chokshi,Male,43,Buddhist,Business,High School,Married,+913703291755,"02/594, Madan Chowk Siliguri 134528",Dakshina Kannada
500002,Xiti Parmer,Female,46,Hindu,Business,Post Graduate,Divorced,1838714734,"87/22, Sidhu Marg, Vellore 879279",Mysuru
500003,Shaurya Comar,Female,70,Buddhist,Software Engineer,Primary,Divorced,06781776463,"326, Roy Marg Salem-841746",Mysuru
500004,Vedant Sarma,Female,18,Sikh,Labourer,PUC,Divorced,05775348671,"H.No. 38, Roy Zila Purnia-948858",Bengaluru Urban
500005,Samarth Bassi,Male,26,Hindu,Doctor,Diploma,Widowed,8722290255,"50, Puri Chowk, Guwahati 221505",Bengaluru Urban
500006,Sara Mangat,Female,53,Jain,Teacher,Diploma,Single,+913810450179,"81, Ravi Circle, Yamunanagar 732500",Dakshina Kannada
500007,Unnati Tara,Male,29,Hindu,Government Employee,Diploma,Married,+910233971512,"72, Swaminathan Ganj, Bhilwara 943838",Mysuru
500008,Aditya Ganguly,Male,64,Buddhist,Teacher,Post Graduate,Single,+911763132467,"H.No. 897, Boase Nagar, Nandyal 720431",Mysuru
500009,Vrishti Thaman,Male,46,Muslim,Farmer,Post Graduate,Married,+918363798597,"61/55, Bhandari, Korba 381316",Bengaluru Urban
500010,Anjali Varkey,Female,19,Buddhist,Driver,Primary,Divorced,+917991941435,"03/551, Pall Path, Kottayam-638066",Bengaluru Urban
500011,Nilima Roy,Male,46,Sikh,Private Employee,PUC,Widowed,05572001953,"H.No. 726 Mahajan Chowk, Imphal-665241",Bengaluru Urban
500012,Daksha Narang,Male,24,Christian,Retired,Diploma,Single,8111875141,"92/852 Kala Ganj, Sangli-Miraj & Kupwad 925078",Dakshina Kannada
500013,Samesh Palla,Male,46,Buddhist,Teacher,Primary,Widowed,+919861604085,"H.No. 37, Dara Street, Kamarhati 294125",Mysuru
500014,Anamika Karpe,Female,29,Sikh,Driver,Graduate,Divorced,+917206616330,"81/10, Date Ganj Kakinada-829668",Bengaluru Urban
500015,Nihal Kaur,Male,43,Hindu,Retired,High School,Married,06866221966,"20/682, Deep Street Rampur 574175",Mysuru
500016,Liam De,Female,36,Hindu,Engineer,High School,Married,08354085500,"76/54 Mallick Ganj, Bijapur-710555",Mysuru
500017,Vasudha Tak,Female,68,Hindu,Engineer,Post Graduate,Divorced,07369383722,"79/565, Chhabra Zila, Navi Mumbai-105985",Dakshina Kannada
500018,Aryan Choudhary,Female,72,Christian,Doctor,Primary,Divorced,07504454846,"570, Modi Zila Bidar-160288",Mysuru
500019,Panini Kari,Male,71,Buddhist,Teacher,Primary,Single,01662764781,H.No. 372 Saha Hajipur 709001,Bengaluru Urban
500020,Janya Devan,Female,60,Christian,Engineer,PUC,Widowed,0957618879,"H.No. 177, Sheth Path Mangalore 106833",Bengaluru Urban
500021,Rayaan Biswas,Male,44,Muslim,Engineer,Diploma,Single,2272337637,18 Balay Marg Durgapur-257364,Dakshina Kannada
500022,Udyati Badami,Male,66,Christian,Retired,Graduate,Divorced,+919025080515,"H.No. 990, Mani Road, Jamalpur 298389",Bengaluru Urban
500023,Jagrati Din,Female,47,Muslim,Engineer,Post Graduate,Married,2714888425,"883, Dutta Path Giridih 761283",Bengaluru Urban
500024,Hemang Basak,Female,37,Jain,Doctor,Diploma,Married,03543404158,"H.No. 15, Khare Circle Karawal Nagar 758078",Dakshina Kannada
500025,Upkaar Baral,Female,41,Sikh,Government Employee,Graduate,Divorced,+917872598008,"66/45 Dara Ganj, Bilaspur-477590",Dakshina Kannada
500026,Rudra Madan,Male,59,Christian,Software Engineer,Primary,Widowed,9345613780,90/612 Talwar Circle Mathura 554372,Mysuru
500027,Mugdha Agrawal,Male,66,Christian,Engineer,Post Graduate,Divorced,06494037348,"H.No. 956 Ranganathan Path, Chandigarh 444075",Mysuru
500028,Tanmayi Batra,Male,32,Christian,Police,High School,Single,1067546226,"H.No. 64 Kala, Kochi-566357",Bengaluru Urban
500029,Yatan Acharya,Male,66,Sikh,Private Employee,Diploma,Single,7590474352,"48/600, Dalal Phusro-431399",Dakshina Kannada
500030,Warhi Rajagopalan,Female,43,Hindu,Driver,PUC,Single,04541181709,"83/16, Chaudhuri Street, Dibrugarh-850889",Bengaluru Urban
500031,Avni Shroff,Male,74,Sikh,Labourer,High School,Divorced,00373030912,"98/17, Devan Marg, Dewas 358388",Dakshina Kannada
500032,Neelima Walla,Female,21,Christian,Engineer,Post Graduate,Single,0272595727,"24/877, Tailor Chowk Silchar 680292",Dakshina Kannada
500033,Saumya Chaudhry,Female,18,Hindu,Doctor,Primary,Divorced,08864666444,"H.No. 520, Ramesh Path, Shimla-526727",Bengaluru Urban
500034,Charan Khalsa,Male,53,Christian,Doctor,Primary,Single,00711480526,"11/70 Vasa Street, Chandigarh-266732",Mysuru
500035,Kalpit Mishra,Male,53,Muslim,Private Employee,High School,Married,+913087874685,"H.No. 113, Dass Path Gandhinagar-540116",Bengaluru Urban
500036,Imaran Sankaran,Female,33,Buddhist,Software Engineer,Diploma,Single,04169023962,H.No. 156 Sahota Nagar Bhusawal 817550,Dakshina Kannada
500037,Gaurika Varkey,Male,67,Buddhist,Student,PUC,Single,+916975830862,"41/370, Toor Nagar, Hubli–Dharwad-101591",Bengaluru Urban
500038,Chanchal Nagy,Male,62,Sikh,Software Engineer,High School,Divorced,+918573300273,"54 Guha Street, Gudivada 063629",Mysuru
500039,Kritika Sha,Male,29,Hindu,Driver,Graduate,Divorced,+913849292163,"H.No. 89, Koshy Street Raipur-547701",Mysuru
500040,Eiravati Dhawan,Female,19,Muslim,Teacher,Diploma,Widowed,6315334132,"882, Ghosh Nagar, Sonipat-205815",Mysuru
500041,Zilmil Karan,Female,22,Sikh,Retired,Primary,Single,+914246991349,H.No. 722 Kannan Circle Mysore 595056,Mysuru
500042,Yashasvi Swamy,Male,40,Muslim,Driver,Primary,Widowed,06789981055,"92/69, Ram Street Mysore-661225",Bengaluru Urban
500043,Vritti Gill,Male,45,Jain,Driver,Post Graduate,Single,+919292041276,"77, Amble Marg, Kadapa-478691",Mysuru
500044,George Mistry,Male,75,Sikh,Driver,Graduate,Widowed,+910137535952,"16, Dasgupta Marg, Sultan Pur Majra 445789",Bengaluru Urban
500045,Faqid Chawla,Male,39,Muslim,Police,High School,Divorced,7938650063,19 Sood Circle Haldia-687191,Bengaluru Urban
500046,Harshil Barman,Female,41,Muslim,Government Employee,Post Graduate,Divorced,+910787803145,"89/12, Keer Path, Kochi-696687",Bengaluru Urban
500047,Jagrati Chanda,Female,54,Buddhist,Retired,Post Graduate,Single,2856507737,"H.No. 66, Nayak Road, Nagaon-509131",Dakshina Kannada
500048,Arjun Bains,Female,61,Sikh,Teacher,High School,Divorced,+915559837788,"H.No. 72, Pathak Marg Ghaziabad 011654",Mysuru
500049,Bina Acharya,Female,68,Muslim,Farmer,Diploma,Single,0383242483,"09/31, Dhillon Path, Moradabad 801152",Dakshina Kannada
500050,Aayush Walla,Female,44,Muslim,Farmer,PUC,Married,05910788331,63 Loyal Dindigul 964007,Bengaluru Urban
500051,Tanvi Loyal,Female,24,Sikh,Private Employee,PUC,Married,5138115129,"96/48, Chopra Ganj, Madurai 132699",Bengaluru Urban
500052,Zinal Varty,Male,62,Christian,Engineer,Diploma,Widowed,4490697231,"67 Rajagopalan Circle, Kozhikode 409256",Dakshina Kannada
500053,Yatan Dua,Male,54,Muslim,Government Employee,High School,Divorced,03521664034,"70, Pal Zila, Bhilai-261426",Bengaluru Urban
500054,Nitesh Mishra,Female,42,Sikh,Student,Diploma,Widowed,06456891677,"128 Ghosh Nagar, Ozhukarai 564033",Mysuru
500055,Darpan Seth,Male,70,Sikh,Teacher,PUC,Single,2505131927,"07, Rajagopal Marg Naihati-624945",Dakshina Kannada
500056,Charles Chahal,Female,23,Jain,Driver,PUC,Divorced,+915881012882,"H.No. 81, Bhargava Path, Sasaram-909171",Mysuru
500057,Niharika Gole,Male,31,Christian,Doctor,PUC,Married,6331439761,"18/575, Deep Chowk, Karawal Nagar 292424",Mysuru
500058,Kiaan Raman,Male,35,Muslim,Labourer,Diploma,Single,9697733952,57/627 Kunda Nagar Tirupati-594167,Dakshina Kannada
500059,Pahal Dey,Male,39,Buddhist,Business,High School,Divorced,8712277104,"666, Mody Ganj, Haridwar 155912",Mysuru
500060,Vanya Nori,Female,57,Hindu,Police,Primary,Widowed,0372908033,"78/29, Chaudhuri Chowk, Thoothukudi-042309",Bengaluru Urban
500061,Andrew Sangha,Male,20,Buddhist,Police,PUC,Widowed,9127492906,"34/12 Panchal Street, Khammam-227969",Mysuru
500062,Falak Chad,Female,44,Sikh,Government Employee,Graduate,Single,07582493585,"30/882 Venkatesh Zila, Dindigul-902604",Bengaluru Urban
500063,Finn Keer,Male,32,Hindu,Private Employee,Diploma,Married,+916835877001,"43/088 Raghavan Ganj, Chinsurah 001927",Mysuru
500064,Warjas Pradhan,Female,45,Muslim,Retired,Post Graduate,Widowed,+916785773874,04/648 Sankar Ganj Amroha-919926,Bengaluru Urban
500065,Ekalinga Devan,Male,69,Hindu,Business,High School,Married,02420099785,"H.No. 25 Sethi, Mango 870259",Dakshina Kannada
500066,Sai Sant,Female,34,Buddhist,Labourer,Primary,Married,+917987595966,"60/942, Gaba Chowk, Karimnagar 835338",Dakshina Kannada
500067,Alka Mohanty,Male,26,Sikh,Labourer,Diploma,Married,+915382154715,"H.No. 119 Sengupta Nagar, Junagadh-740538",Bengaluru Urban
